YEAR,SITE,SPECIES,mean_biomass,SP_CODE,mean_observation_density,mean_dive_computer_temp,TRANSECT,sub_cover,mean_start_depth,mean_end_depth
2014,Baker North,Pollachius virens,27.8323032237511,ASFO,0.16666666666666666,NA,1,57.5,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,ASFO,0.16666666666666666,NA,2,76.25,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,ASFO,0.16666666666666666,NA,3,95,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,ASFO,0.16666666666666666,NA,4,82.5,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,ASRU,0.08333333333333333,NA,1,57.5,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,ASRU,0.08333333333333333,NA,2,76.25,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,ASRU,0.08333333333333333,NA,3,95,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,ASRU,0.08333333333333333,NA,4,82.5,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,HESA,0.3333333333333333,NA,1,57.5,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,HESA,0.3333333333333333,NA,2,76.25,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,HESA,0.3333333333333333,NA,3,95,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,HESA,0.3333333333333333,NA,4,82.5,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,MYSP,0,NA,1,57.5,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,MYSP,0,NA,2,76.25,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,MYSP,0,NA,3,95,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,MYSP,0,NA,4,82.5,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,PHGU,0.16666666666666666,NA,1,57.5,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,PHGU,0.16666666666666666,NA,2,76.25,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,PHGU,0.16666666666666666,NA,3,95,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,PHGU,0.16666666666666666,NA,4,82.5,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,SL,15.708333333333334,NA,1,57.5,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,SL,15.708333333333334,NA,2,76.25,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,SL,15.708333333333334,NA,3,95,8.424999999999999,8.049999999999999
2014,Baker North,Pollachius virens,27.8323032237511,SL,15.708333333333334,NA,4,82.5,8.424999999999999,8.049999999999999
